Kategorie;Ziel der Highlights;Primäre Kaufentscheidung;Sekundäre Kaufentscheidung;Anzahl Bulletpoints;Reihenfolge zwingend;Bullet 1 – Fokus;Bullet 2 – Fokus;Bullet 3 – Fokus;Bullet 4 – Fokus;Bullet 5 – Fokus;Bulletpoint-Template (allgemein);Sprachstil;Empfohlene Länge je Bullet;Pflichtinformationen;Optionale Informationen;Nicht verwenden;Erlaubte Abkürzungen;Typische Fehler;Negativbeispiel;Positivbeispiel
Elektronik & Computer;Schnelle Kaufentscheidung durch Nutzen + Specs;Leistung / Kompatibilität;Komfort / Zusatzfunktionen;4–6;Ja;Hauptnutzen im Alltag;Leistungs-Spec;Kompatibilität / Anschluss;Zusatzfunktion;Zubehör / Lieferumfang;[Nutzen] – [konkrete Eigenschaft oder Spec];Sachlich, technisch, klar;80–120 Zeichen;Hauptfunktion, 1 Kern-Spec;Anschlüsse, Zubehör;Marketingclaims, Emojis;GB, TB, Wi-Fi, BT, Hz;Reine Featureliste ohne Nutzen;Kabelloses Bluetooth für Musik-Streaming;Schnelle Verbindung – stabiles Bluetooth für kabelloses Musik-Streaming
Auto & Motorrad (Teile);Vertrauen durch Passgenauigkeit + Qualität;Passform;Material / Norm;4–5;Ja;Fahrzeugbezug / Einbauort;Technische Ausführung;Material / Qualität;Norm / Zulassung;Einbauhinweis;[Passend für] – [technische Eigenschaft];Technisch, eindeutig;70–110 Zeichen;Fahrzeugbezug oder Plattform, Einbauposition;Material, Norm;Werbeversprechen;OE, MPN, VA, HA;Kein Fahrzeug genannt;Hochwertige Bremsscheibe;Passend für VW Golf 7 vorne – belüftete Ausführung für bessere Kühlung
Mode & Bekleidung;Tragegefühl vermitteln;Komfort / Passform;Material / Alltag;4–5;Ja;Tragekomfort;Material;Passform / Schnitt;Pflege / Alltagstauglichkeit;Besonderheit;[Tragegefühl] – [Material oder Schnitt];Emotional, aber präzise;70–100 Zeichen;Material, Passform;Pflegehinweis;Stilfloskeln;Gr;Nur Design erwähnt;Schönes modernes Design;Angenehm zu tragen – weiche Baumwollmischung mit bequemem Regular Fit
Schuhe & Accessoires;Passform + Nutzungsszenario;Komfort / Dämpfung;Einsatzbereich;4–5;Ja;Lauf-/Tragekomfort;Dämpfung / Sohle;Einsatz / Sport;Material / Atmung;Besonderheit;[Komfort/Nutzen] – [technisches Merkmal];Verständlich, konkret;70–100 Zeichen;Dämpfung, Sohle;Gewicht;Marketingtexte;EU;Größe erklärt statt Nutzen;Größe 42 verfügbar;Hoher Tragekomfort – gedämpfte Sohle für lange Lauf- und Gehstrecken
Haus, Garten & Baumarkt;Problemlösung sichtbar machen;Funktion;Maße / Belastung;4–6;Ja;Hauptfunktion;Maße / Kapazität;Material;Belastung / Haltbarkeit;Einsatzbereich;[Problem gelöst] – [Maß oder Material];Technisch, lösungsorientiert;80–120 Zeichen;Maße oder Kapazität;Material;Superlative;cm, kg;Maße fehlen;Vielseitig einsetzbar;Stabil und belastbar – verzinktes Metall mit 175 kg Tragkraft pro Ebene
Küche & Haushalt;Alltagstauglichkeit verkaufen;Nutzung im Alltag;Kompatibilität;4–5;Ja;Alltagsszenario;Zentrales Feature;Kompatibilität;Reinigung;Setumfang;[Alltag] – [Feature];Klar, praktisch;70–100 Zeichen;Zentrales Feature;Reinigung, Set;Designbeschreibungen;Set;Technik ohne Kontext;Aus Edelstahl gefertigt;Geeignet für Induktion – energieeffizientes Kochen auf allen Herdarten
Beauty & Personal Care;Vertrauen + Wirkung;Wirkung;Anwendung;4–5;Ja;Hauptwirkung;Hauttyp / Anwendung;Textur / Verträglichkeit;Inhalt / Menge;Zusatznutzen;[Wirkung] – [Anwendung oder Inhaltsstoff];Neutral, vertrauenswürdig;70–100 Zeichen;Wirkung, Menge;Hauttyp;Heilversprechen;ml;Wirkung unklar;Pflegt die Haut;Spendet Feuchtigkeit – ideal für trockene und empfindliche Haut
Sport & Freizeit;Einsatz & Leistungsniveau;Einsatzbereich;Leistungsmerkmal;4–5;Ja;Sportart / Einsatz;Leistungsmerkmal;Balance / Gewicht;Material;Zielgruppe;[Einsatz] – [technisches Merkmal];Aktiv, sachlich;70–100 Zeichen;Einsatzbereich;Gewicht;Allgemeine Claims;kg;Kein Einsatz genannt;Für Sport geeignet;Für Tennisspieler – kontrollierte Schläge durch ausgewogene Balance
Spielzeug & Baby;Sicherheit + Nutzen für Entwicklung;Alter / Sicherheit;Lern- oder Spielnutzen;4–6;Ja;Altersfreigabe;Entwicklungsnutzen;Sicherheit;Setumfang;Einsatzidee;[Fördert/geeignet für] – [Eigenschaft];Einfach, vertrauensvoll;70–100 Zeichen;Alter, Sicherheit;Lernziel;Überladung;ab;Alter fehlt;Tolles Spielzeug;Fördert Motorik – altersgerecht ab 6 Jahren konzipiert
Büro & Schreibwaren;Effizienz + Kompatibilität;Kompatibilität;Wirtschaftlichkeit;3–5;Ja;Gerätekompatibilität;Nutzen im Alltag;Reichweite / Menge;Qualität;Verpackung;[Kompatibel mit] – [Vorteil];Sachlich;70–100 Zeichen;Kompatibilität;Reichweite;Marketing;Set;Modell fehlt;Für viele Drucker;Kompatibel mit HP DeskJet Serien – zuverlässige Ergebnisse im Büroalltag
