Titel,Brand,Kategorie,SKU,Barcode (EAN/GTIN),Highlights,Description,Attributes,Price,BIN,Quantity
COZII Hundepool X001Y0BTE9 Faltbar 120x30cm aus PVC/PP Blau,COZII,Tierbedarf > Hunde > Betten & Möbel > Hundepools,SKU-7225351886,00442039661193,"Bietet Hunden sofortige Abkühlung und sicheren Badespaß im Freien. | Extrem robustes, EN71-zertifiziertes PVC/PP für hohe Langlebigkeit. | Werkzeugloser Aufbau, innovative Faltfunktion für einfache Handhabung. | Müheloser Transport und platzsparende Lagerung dank faltbarem Design. | Ideal für Außenbereiche. | Leichte Reinigung und schnelle Entleerung durch praktisches Design. | Stabile Konstruktion widersteht intensivem Spiel und Krallen.",,"{""Besonderheiten"":""Faltbar, Tragbar, Robust"",""Einsatzbereich"":""Outdoor"",""Farbe"":""Blau"",""Form"":""Rund"",""Größe"":""120x30cm"",""Hersteller"":""Huizhou Licheng Inflatable Toys Product Co., Ltd."",""Marke"":""COZII"",""Material"":""PVC, PP"",""Modellnummer"":""X001Y0BTE9"",""Produktart"":""Hundepool"",""Sicherheitszertifizierung"":""EN71"",""Tierart"":""Hund"",""weight"":3,""Zustand"":""used""}",20.99 EUR,XGA0102D,1
"Thule Rucksack Darkest Blue – Robust, vielseitig & nachhaltig für Alltag",Thule,Sammeln & Seltenes > Militaria > NATO-Shop > Rucksäcke & Taschen,SKU-1844691476,085854258548,"Robuste Konstruktion für täglichen Gebrauch und vielfältige Abenteuer. | Nachhaltige Produktion gemäß strengen bluesign-Standards. | Optimale Größe für vielseitige Einsatzmöglichkeiten im Alltag und auf Reisen. | Bewährte Thule Qualität und höchste Zuverlässigkeit garantiert. | Intelligente Funktionalität kombiniert mit modernem, zeitlosem Design. | Umfassende Thule Garantie für langfristige Zufriedenheit und Sicherheit.","Dieser Thule Rucksack in Darkest Blue ist Ihr idealer Begleiter für tägliche Abenteuer und Reisen, da er herausragende Qualität mit durchdachter Funktionalität vereint. Sein modernes, zeitloses Design fügt sich nahtlos in jeden aktiven Lebensstil ein und bietet vielseitige Einsatzmöglichkeiten.Die robuste Konstruktion wurde im Thule Approved Test Program streng geprüft, um höchste Anforderungen zu erfüllen und außergewöhnliche Langlebigkeit zu garantieren. Gefertigt nach strengen bluesign-Standards, steht dieses Produkt für eine umweltfreundliche und sozial verantwortliche Produktion.Der Lieferumfang umfasst den Rucksack selbst, bereit für den sofortigen Einsatz. Dieses langlebige Produkt bewahrt seine Qualität durch unkomplizierte Pflege und wird durch die umfassende Thule Garantie für langfristige Zufriedenheit abgesichert.","{""Farbe"":""Darkest Blue"",""GPSR Manufacturer name"":""Thule"",""Hersteller (Europa)"":""THULE SWEDEN AB"",""Hersteller (USA)"":""THULE INC."",""Herstelleradresse Schweden"":""Borggatan 5, 33573 Hillerstorp, Sweden"",""Herstelleradresse USA"":""42 Silvermine Road, Seymour, CT, 06483 USA"",""Marke"":""Thule"",""Nachhaltigkeitszertifikat"":""bluesign PRODUCT"",""Produktart"":""Rucksack"",""Verpackung"":""Recycelbar"",""Verpackungszertifikat"":""FSC C166433"",""Zustand"":""Neu""}",144.45 EUR,XGA0201B,1
HENMI Fahrradständer HMF-B03 verstellbar Schwarz Neu für diverse Fahrräder,HENMI,Sport > Radsport > Fahrradzubehör > Fahrradständer & Aufbewahrung,SKU-2250869990,0751677212219,"Stabiler, sicherer Stand schützt Ihr Fahrrad effektiv vor Umfallen. | Einfache, schnelle Montage für sofortigen Einsatz und maximalen Komfort. | Robuste Materialien garantieren Langlebigkeit und zuverlässige Funktion. | Verstellbare Länge für optimale Kompatibilität mit diversen Radgrößen. | Funktionales, unauffälliges Design integriert sich nahtlos in jedes Fahrrad.","Der HENMI HMF-B03 Seitenständer bietet verstellbaren und stabilen Halt für Ihr Fahrrad. Gefertigt aus robusten Materialien und in elegantem Schwarz, sorgt er für sicheren Stand.","{""Besonderheiten"":""Verstellbar"",""EAN"":""0751677212219"",""Farbe"":""Schwarz"",""Marke"":""HENMI"",""Modell"":""HMF-B03"",""Produktart"":""Fahrradständer"",""Sportart"":""Radsport"",""weight"":1,""Zielgruppe"":""Unisex Erwachsene"",""Zustand"":""Neu""}",15.18 EUR,XGA0105B,1
Pokémon Sammelordner-Kollektion: Optimaler Schutz & 5 Boosterpacks,Pokémon,Sammeln & Seltenes > Sammelkartenspiele/TCGs,SKU-4310621602,0196214105119,"Schützt bis zu 378 wertvolle Sammelkarten zuverlässig und übersichtlich. | Enthält fünf spannende Boosterpacks zur sofortigen Sammlungsbereicherung. | Hochwertiger, robuster Kunststoffordner für langlebigen Schutz Ihrer Karten. | Offizielles Pokémon Produkt garantiert höchste Qualität und Authentizität. | Exklusives Design der Prismatischen Entwicklungen begeistert jeden Sammler. | Ideal für junge Sammler ab 6 Jahren und erfahrene Trainer.","Dieser offizielle Pokémon Sammelordner schützt Ihre wertvollen Sammelkarten sicher und übersichtlich vor Beschädigungen. Erweitern Sie Ihre Sammlung stilvoll und tauchen Sie ein in die faszinierende Welt der Prismatischen Entwicklungen.Der hochwertige Ordner aus robustem Kunststoff bietet mit 21 Seiten und beidseitig je 9 Kartenfächern Platz für bis zu 378 Karten. Dies gewährleistet eine optimale Organisation und langfristigen Schutz Ihrer gesamten Sammlung.Im Lieferumfang sind fünf Boosterpacks der neuesten Erweiterung Karmesin & Purpur – Prismatische Entwicklungen enthalten, die Ihre Sammlung sofort bereichern. Als offizielles Pokémon Produkt garantiert diese Kollektion höchste Qualität und Authentizität für Sammler ab 6 Jahren.","{""Altersfreigabe"":""Ab 6 Jahren"",""Anzahl Boosterpacks"":""5"",""Anzahl Kartenfächer"":""378"",""Anzahl Seiten"":""21"",""Besonderheiten"":""Mit Boosterpacks"",""Erweiterung"":""Karmesin & Purpur – Prismatische Entwicklungen"",""Farbe"":""Mehrfarbig"",""GPSR Manufacturer name"":""Pokémon"",""Kategorie"":""Sammeln & Seltenes > Sammelkartenspiele/TCGs"",""Lieferumfang"":""1 Sammelordner, 5 Boosterpacks"",""Marke"":""Pokémon"",""Material"":""Kunststoff"",""Produktart"":""Sammelordner-Kollektion"",""Serie"":""Karmesin & Purpur"",""Spiel"":""Pokémon Sammelkartenspiel"",""Sprache"":""Deutsch"",""Thema"":""Anime & Manga"",""Zielgruppe"":""Sammler, Kinder"",""Zustand"":""Neu""}",65 EUR,,0
Weber Räucherofen Smokey Mountain Cooker 37cm 711004 Schwarz Metall,Weber,"Business & Industrie > Agrar, Forst & Kommune > Spezial-Landwirtschaft > Fischwirtschaft > Räucheröfen",SKU-9947386415,77924021268,"Authentisches Raucharoma für unvergleichliche Geschmackserlebnisse. | Präzise Temperaturkontrolle dank integriertem Deckelthermometer. | Robuste Weber Qualität für jahrelangen, zuverlässigen Rauchgenuss. | Vielseitiges Räuchern auf mehreren Ebenen für diverse Köstlichkeiten. | Einfache Reinigung und Pflege dank durchdachter Bauweise. | Verlängerte Lebensdauer durch passgenaue, wetterfeste Premium-Abdeckung.","Der Weber Smokey Mountain Cooker 37cm Räucherofen veredelt Ihre Gerichte mit unvergleichlichen Raucharomen und sorgt für unvergessliche Geschmackserlebnisse. Seine robuste Konstruktion aus hochwertigem Metall garantiert jahrelange Freude an perfekt geräuchertem Fleisch, Fisch und Gemüse.Dank des integrierten Deckelthermometers und der Möglichkeit, auf mehreren Ebenen zu räuchern, behalten Sie stets die volle Kontrolle über den Garprozess für präzise Ergebnisse. Im Lieferumfang ist zudem eine Premium-Abdeckung enthalten, die Ihren Smoker optimal vor Witterungseinflüssen schützt.Vertrauen Sie auf die bewährte Qualität von Weber, die für zuverlässigen Rauchgenuss und eine lange Lebensdauer steht. Dieser Premium-Räucherofen ist die ideale Wahl für alle, die authentische Raucharomen und höchste Präzision beim Räuchern schätzen und Wert auf Langlebigkeit legen.","{""Besonderheiten"":""Mit Deckel, Integriertes Thermometer"",""Brennstoffart"":""Holzkohle"",""Deckel"":""Ja"",""Durchmesser"":""37 cm"",""Einsatzbereich"":""Outdoor"",""Farbe"":""Schwarz"",""Form"":""Rund"",""GPSR Manufacturer name"":""Weber"",""Größe"":""37 cm"",""Integriertes Thermometer"":""Ja"",""Kategorie"":""Business & Industrie > Agrar, Forst & Kommune > Spezial-Landwirtschaft > Fischwirtschaft > Räucheröfen"",""Lieferumfang"":""Räucherofen, Premium Abdeckung"",""Marke"":""Weber"",""Material"":""Metall"",""Modell"":""Smokey Mountain Cooker"",""Montage erforderlich"":""Ja"",""Produktart"":""Räucherofen"",""Räucherebenen"":""Mehrere"",""Verpackungsabmessungen"":""18.03\"" x 18.03\"" x 23.81\"""",""Verpackungsgewicht"":""30.1 LBS"",""Verpackungsvolumen"":""0.483 CU.FT."",""weight"":1,""Zustand"":""Neu""}",369.99 EUR,XGA0203E,1
Pierburg Luftmassenmesser 7.22184.39.0 Schwarz Kunststoff Gebraucht,Pierburg,Heimwerker > Werkzeuge > Handwerkzeuge > Messer,SKU-4641833225,04052938000016,"Optimiert Motorleistung und Kraftstoffeffizienz des Motors. | Reduziert Fahrzeugemissionen durch präzise Luftmassenmessung. | Original Pierburg Ersatzteil gewährleistet hohe Passgenauigkeit. | Gefertigt aus robustem schwarzem Kunststoff für lange Lebensdauer. | Ermöglicht einfache Installation und schnelle Funktionswiederherstellung. | Unterstützt zuverlässig die Einhaltung moderner Abgasnormen. | Gebrauchtes Originalteil, vor Versand auf volle Funktion geprüft.","Dieser Pierburg Luftmassenmesser optimiert die Motorleistung und Effizienz Ihres Fahrzeugs signifikant, indem er eine exakte Luftmassenmessung gewährleistet. Eine präzise Kraftstoff-Luft-Mischung wird dadurch sichergestellt, was den Kraftstoffverbrauch reduziert und schädliche Emissionen minimiert.Als hochwertiges Originalersatzteil von Pierburg zeichnet sich dieses Produkt durch erstklassige Qualität und garantierte Passgenauigkeit aus. Gefertigt aus robustem schwarzem Kunststoff, ist der Lieferumfang ein Pierburg Luftmassenmesser, konzipiert für unkomplizierte Installation und schnelle Wiederherstellung der vollen Motorfunktionalität.Vertrauen Sie auf die bewährte Ingenieurskunst von Pierburg, die weltweit für ihre Zuverlässigkeit und die Einhaltung strengster Abgasnormen geschätzt wird. Sichern Sie sich dieses essenzielle Teil jetzt, um die Leistung und Effizienz Ihres Fahrzeugs nachhaltig zu maximieren und von langfristiger Qualität zu profitieren.","{""EAN"":""04052938000016"",""Farbe"":""Schwarz"",""GPSR Manufacturer name"":""Pierburg"",""Hauptkategorie"":""Autoteile & Zubehör"",""Herstellernummer"":""7.22184.39.0"",""K-Typ"":""23302,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|25455,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|19124,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|16077,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|23303,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|30003,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|15998,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|30992,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|26852,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|30008,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|22732,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|20119,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|25509,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|33417,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|22550,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|29976,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|11987,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|11988,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|22551,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|29977,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|115108,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|30984,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|31334,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|11993,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|11994,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|30985,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|31573,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|33414,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|11990,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|11991,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|31574,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|115113,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|18415,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|18416,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|30362,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|18677,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|19234,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|30363,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|17898,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|18025,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|19477,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|30369,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|7943,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|108433,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|108435,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|7944,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|7960,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|19475,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|21321,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|30382,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|19474,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|21320,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|30383,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|29292,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|29298,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|29300,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|18419,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|18675,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|30374,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|18676,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|19235,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|30375,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|18420,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|18426,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|19479,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|30380,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|10416,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|108585,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|108588,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|10418,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|10429,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|2538,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|107348,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|9332,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|11790,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|34941,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|58357,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|107509,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|27565,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|31962,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|56107,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|100062,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|100773,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|9337,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|10442,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|21589,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|26563,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|34967,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|100640,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|105798,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|105802,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|107684,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|30398,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|28168,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|8428,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|9264,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|33307,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|58984,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N|107860,Motorcode:CAMA,CGKA / für OE-Nummer:059 906 461 N"",""Kategorie"":""Heimwerker > Werkzeuge > Handwerkzeuge > Messer"",""Lieferumfang"":""1x Luftmassenmesser"",""Marke"":""Pierburg"",""Material"":""Kunststoff"",""Oldtimer-Teil"":""Nein"",""Performance-Teil"":""Ja"",""Produktart"":""Luftmassenmesser"",""Tuning- & Styling-Teil"":""Nein"",""Universelle Kompatibilität"":""Nein"",""weight"":1,""Zustand"":""Gebraucht""}",83.56 EUR,XGA0106B,1
"3rd Avenue Akustikgitarre STX10ASBPK2, Fichtenholz Decke, Lindenholz, Sunburst",3rd Avenue,Spielzeug > Holzspielzeug > Musikinstrumente,SKU-2014012963,0700153955478,"Komplettes Premium Set für sofortigen Musikstart und Lernerfolg. | Klarer, resonanter Klang dank hochwertiger Hölzer im Sunburst-Design. | Robuste Bauweise garantiert langanhaltende Spielfreude und Zuverlässigkeit. | Einfache Bespielbarkeit, ideal für musikalische Einsteiger und Anfänger. | Umfassendes Zubehör inklusive, ermöglicht sofortiges Musizieren ohne weitere Anschaffungen. | Fichtenholz-Decke und Lindenholz-Boden für ausgewogenes, volles Klangbild. | Cutaway-Design für leichten Zugang zu höheren Bünden.","Das 3rd Avenue Akustikgitarren Premium Set in elegantem Sunburst bietet den idealen Einstieg in die Welt der Musik und ermöglicht sofortigen Spielspaß für Anfänger. Es liefert einen klaren, resonanten Klang durch hochwertige Hölzer und überzeugt mit seinem klassischen Design, perfekt für Übung und erste Auftritte.Die robuste Bauweise der Akustikgitarre garantiert außergewöhnliche Langlebigkeit und eine spielerfreundliche Handhabung, die besonders Einsteigern den Lernprozess erheblich erleichtert. Sorgfältig ausgewählte Materialien wie Fichtenholz für die Decke und Lindenholz für Boden und Zargen tragen zu einem ausgewogenen Klangbild bei, das sowohl für Solo-Spiel als auch für Begleitung geeignet ist.Im Lieferumfang sind die Akustikgitarre sowie umfangreiches Zubehör enthalten, sodass Sie ohne weitere Anschaffungen direkt mit dem Musizieren beginnen können. Vertrauen Sie auf die bewährte Qualität von 3rd Avenue, einer Marke, die für zuverlässige Musikinstrumente bekannt ist, und unseren engagierten Kundenservice für ein optimales Lernerlebnis.","{""Cutaway"":""Ja"",""EAN"":""0700153955478"",""Farbe"":""Sunburst"",""GPSR EU Authorised Representative"":""AR Experts, P.O. Box 5047, 3620 AA Breukelen, The Netherlands"",""GPSR Manufacturer address"":""Unit 3, Ryknild Industrial Estate, Derby Road, Burton upon Trent, DE14 1RZ"",""GPSR Manufacturer name"":""Normans (Burton on Trent Ltd)"",""Inklusive Zubehör"":""Ja"",""Kategorie"":""Spielzeug > Holzspielzeug > Musikinstrumente"",""Kategorie_Listing"":""Musikinstrumente > Saiteninstrumente > Gitarren > Akustikgitarren"",""Marke"":""3rd Avenue"",""Material Boden & Zargen"":""Lindenholz"",""Material Decke"":""Fichtenholz"",""Modell"":""STX10ASBPK2"",""Produktart"":""Akustikgitarre"",""Produktkategorie"":""Musikinstrumente > Saiteninstrumente > Gitarren > Akustikgitarren"",""Tonabnehmer"":""Nein"",""weight"":1,""Zielgruppe"":""Anfänger"",""Zubehör"":""Ja"",""Zustand"":""Neu""}",61.21 EUR,,0
"Generisch Autoradio JSD 520, 1-DIN, Bluetooth, USB, SD, 4x60W Schwarz",Generisch,"Auto & Motorrad: Teile > Autoelektronik, GPS & Sicherheitstechnik > Autoentertainment > Autoradios",SKU-2097206690,07901010300000,"Kabellose Freiheit: Bluetooth für Musik-Streaming und sicheres Freisprechen. | Vielseitige Medienwiedergabe: USB, SD und AUX-IN für gängige Audioformate. | Kraftvoller Sound: 4x60W MOSFET-Verstärker liefert beeindruckende Klangqualität. | Intuitive Bedienung: Klares LCD-Display und Fernbedienung für maximale Kontrolle. | Standard 1-DIN Einbaugröße für einfache Integration in viele Fahrzeuge. | Integriertes FM Radio mit RDS-Funktion für optimalen Senderempfang. | Umfassende Anschlussmöglichkeiten inklusive Cinch-Ausgänge für externe Verstärker.",,"{""Anschlusskabel"":""Ja"",""Anzahl Kanäle"":""4"",""Ausgangsleistung"":""4 x 60 W"",""AUX-Eingang"":""Ja"",""Bluetooth"":""Ja"",""Cinch-Ausgänge"":""Ja"",""Einbaugröße"":""1 DIN"",""Farbe"":""Schwarz"",""Fernbedienung"":""Ja"",""FM-Radio"":""Ja"",""Marke"":""Generisch"",""Modell"":""JSD 520"",""MP3-Wiedergabe"":""Ja"",""RDS-Funktion"":""Ja"",""SD-Karten-Slot"":""Ja"",""USB-Anschluss"":""Ja"",""weight"":1,""Zustand"":""used""}",15 EUR,,0
"Levoit Luftbefeuchter Classic 160: Gesundes Raumklima, leise, Top-Fill",Levoit,Haushaltsgeräte > Klimaanlagen & Heizgeräte,SKU-1890172110,0810123671069,"Gesundes Raumklima durch effiziente Ultraschall-Kaltnebeltechnologie genießen. | Müheloses Nachfüllen dank innovativem Top-Fill-Design des 2,5L Tanks. | Flüsterleiser Betrieb unter 28 dB für ungestörten Schlaf und Fokus. | Bis zu 25 Stunden kontinuierliche Befeuchtung pro Tankfüllung. | Einfache, hygienische Reinigung der Basis für dauerhafte Frische. | Effektive Feuchtigkeitsregulierung für Räume bis zu 20 m². | Zwei Jahre Herstellergarantie für langfristige Sicherheit und Vertrauen.","Der Levoit Classic 160 Ultraschall-Kaltnebel-Luftbefeuchter schafft ein optimales Raumklima und lindert effektiv Symptome trockener Luft. Er steigert Ihr tägliches Wohlbefinden durch sanfte Erhöhung der Luftfeuchtigkeit in Räumen bis zu 20 m², ideal für Schlafzimmer, Wohnzimmer und Büros.Dank effizienter Ultraschalltechnologie verteilt das Gerät einen feinen, kühlen Nebel und arbeitet dabei mit unter 28 dB extrem leise, für ungestörten Schlaf und konzentriertes Arbeiten. Das innovative Top-Fill-Design ermöglicht ein kinderleichtes Nachfüllen des 2,5-Liter-Wassertanks und gewährleistet eine hygienische Nutzung durch die einfache Reinigung der minimalistischen Basis.Im Lieferumfang des Levoit Classic 160 Luftbefeuchters sind ein vorinstallierter Wasserfilterschwamm, eine Reinigungsbürste und eine Bedienungsanleitung enthalten, bereit für den sofortigen Einsatz. Profitieren Sie von einer beeindruckenden Laufzeit von bis zu 25 Stunden pro Tankfüllung und einer umfassenden 2-jährigen Herstellergarantie für langfristige Sicherheit und Zufriedenheit.","{""Besonderheiten"":""Ultraschall, Kaltnebel, Top-Fill, Leise, DualValve Anti-Leak Design"",""Empfohlene_Raumgröße"":""20 m²"",""Geräuschpegel"":""< 28 dB"",""GPSR Manufacturer name"":""Levoit"",""Herstellernummer"":""LUH-A251-WEU"",""Kapazität"":""2.5 L"",""Kategorie"":""Haushaltsgeräte > Klimaanlagen & Heizgeräte"",""Kategorie_Pfad"":""Klimaanlagen & Heizgeräte"",""Leistung"":""17 W"",""Marke"":""Levoit"",""Modell"":""Classic 160"",""Produktart"":""Luftbefeuchter"",""Stromquelle"":""Netzbetrieben"",""Wassertank"":""Top-Fill Design""}",54.69 EUR,XGA0301C,1
"SACHS Federbeinlager Domlager 802 472 019 für Ford Fiesta V, Ford Fusion, Mazda 2 | Neu",SACHS,Auto & Motorrad: Teile > Auto-Tuning & -Styling > Sportfederung > Domlager,SKU-3671103995,4059923008019,"SACHS Originalteil für höchste Zuverlässigkeit und maximale Sicherheit. | Optimierter Fahrkomfort durch verbesserte Stabilität und Federung. | Präzise Passform ermöglicht schnelle, problemlose Installation. | Extrem langlebige Materialien garantieren außergewöhnlich lange Lebensdauer. | Wiederherstellung der ursprünglichen Fahrwerksleistung für präzises Handling. | Reduziert Fahrgeräusche und Vibrationen für ein ruhigeres Fahrerlebnis.","Dieses SACHS Original Federbeinlager optimiert spürbar die Fahrstabilität und den Federungskomfort Ihres Fahrzeugs. Es stellt die ursprüngliche Fahrwerksleistung wieder her und sorgt für präzises Handling sowie ein ruhigeres Fahrerlebnis.Gefertigt aus hochwertigen, langlebigen Materialien, ist dieses Bauteil für eine außergewöhnlich lange Lebensdauer und hohe Beständigkeit unter allen Bedingungen ausgelegt. Der Lieferumfang umfasst ein Federbeinlager gemäß Herstellernummer 802 472 019, bereit zur effizienten Wartung.Als Produkt von ZF Aftermarket profitieren Sie von der Expertise eines führenden Automobilzulieferers für professionelle Reparaturen. Bitte überprüfen Sie die exakte Kompatibilität anhand der Herstellernummer, um die korrekte Anwendung in Ihrem spezifischen Fahrzeug sicherzustellen.","{""EAN"":""4059923008019"",""Einbauposition"":""Vorderachse, Links, Rechts"",""Farbe"":""Schwarz"",""Herstellerland"":""Slowakische Republik"",""Herstellernummer"":""802 472 019"",""Kategorie"":""Auto & Motorrad: Teile"",""Kompatible Fahrzeugmodelle"":""Ford Fiesta V (JH_, JD_), Ford Fusion ju2, Mazda 2 DY, Ford Fiesta Mk5, Ford Fiesta Mk5 Kastenwagen"",""Lieferumfang"":""1x Federbeinlager"",""Marke"":""SACHS"",""Passend für Fahrzeug"":""Ford Fiesta V, Ford Fusion, Mazda 2"",""Produktart"":""Reparatursatz Federbeinstützlager"",""Referenznummer(n) OEM"":""F-5518867, F881997, 561367, 298199, BOGE 88-353-R, KYB SM1210, LEMFÖRDER 34683 01"",""weight"":1,""Zustand"":""Neu""}",19.25 EUR,XGA0106B,1
