ID_cannot_be_submitted,attribute,value_de_DE,value_cs_CZ,value_en_US,value_sk_SK,value_pl_pl,value_fr_fr,value_it_it,multilanguage,title_de_DE
6398700,abrasion_class_tiles,Klasse 4 (Starke Beanspruchung),Třída 4,Class 4 (Heavy stress),Trieda 4,Klasa 4 (duże obciążenie),Classe 4 (sollicitation importante),Classe 4 (carico elevato),1,Abriebklasse
6398701,abrasion_class_tiles,Klasse 5 (Sehr starke Beanspruchung),Třída 5,Class 5 (Very heavy stress),Trieda 5,Klasa 5 (bardzo duże obciążenie),Classe 5 (sollicitation très importante),Classe 5 (carico molto elevato),1,Abriebklasse
6398697,abrasion_class_tiles,Klasse 1 (Leichte Beanspruchung),Třída 1,Class 1 (Light stress),Trieda 1,Klasa 1 (lekkie obciążenie),Classe 1 (sollicitation légère),Classe 1 (carico leggero),1,Abriebklasse
6398699,abrasion_class_tiles,Klasse 3 (Mittlere Beanspruchung),Třída 3,Class 3 (Medium stress),Trieda 3,Klasa 3 (średnie obciążenie),Classe 3 (sollicitation moyenne),Classe 3 (carico medio),1,Abriebklasse
6398698,abrasion_class_tiles,Klasse 2 (Normale Beanspruchung),Třída 2,Class 2 (Normal stress),Trieda 2,Klasa 2 (normalne obciążenie),Classe 2 (sollicitation normale),Classe 2 (carico normale),1,Abriebklasse
7102100,abrasive_level,Hoch,Vysoký,High,Vysoká,Wysoki,Élevé,Alto,1,Abrasionsgrad
7102098,abrasive_level,Niedrig,Nízká,Low,Nízka,Niski,Faible,Basso,1,Abrasionsgrad
7102099,abrasive_level,Mittel,Střední,Medium,Stredná,Średni,Moyen,Medio,1,Abrasionsgrad
7102101,abrasive_level,Ohne,Bez,Without,Bez,Bez,Aucun,Senza,1,Abrasionsgrad
1351194,age_recommendation,0-15 Monate,0–15 měsíců,0-15 months,0 – 15 mesiacov,0–15 miesięcy,0-15 mois,0-15 mesi,1,Altersempfehlung
1437411,age_recommendation,4-16 Jahre,4–16 let,4-16 years,4 – 16 rokov,4–16 lat,4-16 ans,4-16 anni,1,Altersempfehlung
730,age_recommendation,ab 3 Jahren,od 3 let,3 years and up,od 3 rokov,od 3 lat,à partir de 3 ans,dai 3 anni in su,1,Altersempfehlung
1413061,age_recommendation,0-4 Monate,0–4 měsíce,0-4 months,0 – 4 mesiacov,0–4 miesięcy,0-4 mois,0-4 mesi,1,Altersempfehlung
434,age_recommendation,13-24 Monate,13–24 měsíců,13-24 months,13 – 24 mesiacov,13–24 miesięcy,13-24 mois,13-24 mesi,1,Altersempfehlung
