product_id;product_name;quantity;product_ean;product_sku;product_category_name;price;product_tax;weight;description;additional_desc_1;additional_desc_2;additional_desc_3;additional_desc_4;photo;additional_photo_1;additional_photo_2;additional_photo_3;additional_photo_4;additional_photo_5;additional_photo_6;additional_photo_7;additional_photo_8;additional_photo_9;additional_photo_10;additional_photo_11;additional_photo_12;additional_photo_13;additional_photo_14;additional_photo_15;product_manufacturer_name
449821192;Ninja Plancha-Grillplatte XL – schonendes Garen empfindlicher Speisen;0;;SKU-7499091535;Grillzubehör;29.99;19 %;0;"Die Ninja Plancha-Grillplatte XL verwandelt Ihren Ninja Woodfire Grill in eine große, durchgehend flache Garfläche für empfindliche Speisen. Fisch, Gemüse, Meeresfrüchte und kleinteilige Zutaten gelingen schonend gegart, aromatisch und mit kontrollierter Bräunung.

Die passgenaue Platte sitzt stabil im Grillrahmen, verteilt die Hitze gleichmäßig und reduziert dank glatter Oberfläche das Anhaften. So lassen sich selbst feine Speisen mühelos wenden und direkt von der Plancha komfortabel servieren.

Die robuste, hitzebeständige Ausführung ist als Zubehör für ausgewählte Ninja Woodfire Modelle konzipiert und wird werkzeuglos eingesetzt wie entnommen. Im Lieferumfang enthalten ist eine Ninja Plancha-Grillplatte XL; für lange Lebensdauer werden Handreinigung und Beachtung der Herstellerhinweise empfohlen.";;;;;https://storage.googleapis.com/avycloud-product-images/products/ninja-woodfire-flat-plate-unknown-ean/other_174a1053a972304689f567e92cfc8c12.png;https://storage.googleapis.com/avycloud-product-images/products/ninja-woodfire-flat-plate-unknown-ean/other_47006aa8d4ef6a5844dfe0b53df72bf8.png;https://storage.googleapis.com/avycloud-genai-images/products/ninja-woodfire-flat-plate-unknown-ean/gemini_render_lifestyle_1764633459223_0_4d59e4b7d2c5bd9a50af88668215ba1f.png;https://storage.googleapis.com/avycloud-genai-images/products/ninja-woodfire-flat-plate-unknown-ean/gemini_render_lifestyle_1764633460904_1_c3b99b78308e52e549b37b20b8426ac0.png;;;;;;;;;;;;;Ninja
449821382;Universal Tablet-Bodenständer mit Schwenkarm & Höhenverstellung für alle Tablets;0;;SKU-9603350817;Halter;20.98;19 %;0;"Dieser vielseitige Tablet-Bodenständer bietet eine flexible Lösung für die freihändige Nutzung Ihres Tablets in jeder Umgebung. Genießen Sie Filme, lesen Sie E-Books oder folgen Sie Rezepten komfortabel, ohne Ihr Gerät halten zu müssen, und erleben Sie maximalen Komfort.Der robuste Schwenkarm ermöglicht eine präzise Positionierung und optimale Ergonomie durch Höhen- und Winkeleinstellung. Eine stabile Bodenplatte gewährleistet dabei jederzeit einen sicheren Stand und verhindert zuverlässig ein Umkippen des Geräts.Gefertigt aus langlebigem Metall und hochwertigem Kunststoff, überzeugt dieser Ständer mit hoher Stabilität und einem schlanken, modernen Design. Der Lieferumfang umfasst den Bodenständer und eine leicht verständliche Anleitung; unser Kundenservice steht Ihnen bei Fragen jederzeit zur Verfügung.";;;;;https://storage.googleapis.com/prodsandjobs/products/X001M7MEXJ/studio_front_d4e7be40400e45cf099be6464f06f2b7.png;https://storage.googleapis.com/prodsandjobs/products/X001M7MEXJ/studio_detail_aae57948b11a5970542362128e056340.png;https://storage.googleapis.com/prodsandjobs/products/X001M7MEXJ/studio_topdown_c4230932a3aa45dc2795a303baa9d529.png;https://storage.googleapis.com/prodsandjobs/products/X001M7MEXJ/lifestyle_front_797acc87a98d451d8c6eb2fb5e6dc41b.png;https://storage.googleapis.com/prodsandjobs/products/X001M7MEXJ/lifestyle_closeup_2b6fd2346fb3acbdf9f3d0062451f606.png;https://storage.googleapis.com/prodsandjobs/products/X001M7MEXJ/lifestyle_inuse_b31092fb136e0a9e1440e2d661ef3288.png;;;;;;;;;;; 
449821605;"Pistolenkoffer mit Schaumstoffeinlage ""GLOCK""";0;;SKU-4561934561;Werkzeugkoffer;15.90;19 %;0;"Kompakter Hartschalen-Pistolenkoffer mit formgepresstem Schaumstoff (Deckel & Boden) zur sicheren Aufbewahrung einer Pistole und Zubehör. Robustes Polymergehäuse, eingeformter Tragegriff und zwei Verschlussclips sorgen für einfachen Transport und sicheren Verschluss.

Der Koffer eignet sich für den Transport und die Lagerung kleiner Werkzeuge, Geräte oder Sport- und Jagdausrüstung und schützt vor Stößen und Kratzern durch die gepolsterte Innenfläche. Pflegeleichtes Kunststoffgehäuse – mit einem feuchten Tuch abwischbar; Schaumstoff-Einlage nicht herausnehmbar.

Lieferumfang: Hartschalenkoffer mit profilierter Schaumstoffeinlage wie auf den Bildern gezeigt. Montage/Bedienung: sofort einsatzbereit, einfaches Öffnen der Clips; kein zusätzliches Werkzeug erforderlich.";;;;;https://storage.googleapis.com/avycloud-product-images/products/uploads/identify_1764066454243_0_0123a1537f4a7c569ffc92fd0c4212db.jpeg;https://storage.googleapis.com/avycloud-product-images/products/uploads/identify_1764066454479_1_063006522df7bad38aaf6a515179b053.jpeg;https://www.boeck-jagd-outdoor.de/images/product_images/original_images/BL600200_1.jpg;https://www.boeck-jagd-outdoor.de/images/product_images/original_images/BL600200_2.jpg;;;;;;;;;;;;; 
449821746;LEONARDO Swing Krug - Wasserkaraffe aus hochwertigem Glas - 1,2 Liter;0;;SKU-6614383452;Karaffen & Dekanter;15.95;19 %;0;"Die Leonardo Swing Karaffe präsentiert Wasser, Saft und Schorlen in einem elegant geschwungenen Design. Die leicht geneigte Form mit breitem, stabilem Boden sorgt für sicheren Stand, während der ergonomische Henkel die Karaffe angenehm in der Hand liegen lässt.

Der fein geformte Ausguss erleichtert kontrolliertes, weitgehend tropfreies Einschenken. Mit 1,2 Litern Volumen ist die Karaffe ideal für Familienmahlzeiten, Gäste oder Meetings und passt dank ca. 21 cm Höhe in viele Kühlschranktüren.

Geliefert wird eine Leonardo Swing Karaffe ohne Deckel oder weiteres Zubehör. Handwäsche wird empfohlen; bei Verwendung in der Spülmaschine sind die Herstellerangaben zu beachten.";;;;;https://storage.googleapis.com/avycloud-product-images/products/gtin-unknown-leonardo-swing-1.2l-001/other_773cb29d9d96c0584a95e6e3bd2f4f27.png;https://storage.googleapis.com/avycloud-product-images/products/gtin-unknown-leonardo-swing-1.2l-001/other_70d3d6d65c0c97ece73de16748496f4a.jpeg;https://storage.googleapis.com/avycloud-product-images/products/gtin-unknown-leonardo-swing-1.2l-001/other_3b74a5647de3aa4b529c3437cfb1dd28.png;https://storage.googleapis.com/avycloud-product-images/products/gtin-unknown-leonardo-swing-1.2l-001/other_81d21a88220e7313d6255da055e0702b.png;https://storage.googleapis.com/avycloud-product-images/products/gtin-unknown-leonardo-swing-1.2l-001/other_96827fb5ec86009185ab2c6bda040e09.jpeg;;;;;;;;;;;;Leonardo
449822267;WMF Topf-Set Provence Plus – Edelstahl 18/10, induktionsgeeignet;0;4000530650139;SKU-4349960147;Gastronomie-Kochgeschirr- & zubehör;107.49;19 %;0;"Das WMF Topf-Set Provence Plus aus Cromargan Edelstahl 18/10 überzeugt mit langlebiger Qualität und geschmacksneutralen Eigenschaften. Der TransTherm Allherdboden sorgt für schnelle, gleichmäßige Wärmeverteilung und ermöglicht energiesparendes Kochen.

Hitzebeständige Glasdeckel mit Edelstahleinfassung erlauben bequemes Sichtkochen und halten Aromen zuverlässig im Topf. Ergonomische, formstabile Griffe liegen sicher in der Hand und machen das Arbeiten auf allen Herdarten inklusive Induktion besonders komfortabel.

Im Lieferumfang enthalten sind ein Bratentopf 20 cm mit Deckel, zwei Fleischtöpfe 16 und 20 cm mit Deckeln sowie eine Stielkasserolle 16 cm ohne Deckel. Das spülmaschinengeeignete Kochgeschirr ist pflegeleicht, behält bei sachgemäßer Edelstahlpflege lange seinen Glanz und sollte gemäß den Pflegehinweisen des Herstellers behandelt werden.";;;;;https://storage.googleapis.com/avycloud-product-images/products/4000530650139/other_c1a78830f5b6f920847f8d6477e0b700.png;https://storage.googleapis.com/avycloud-product-images/products/4000530650139/other_033d2f65d6e081e95e5304c09f68728b.png;https://storage.googleapis.com/avycloud-product-images/products/4000530650139/other_35f24b7a355b6581c65b97c43de9b808.png;https://storage.googleapis.com/avycloud-product-images/products/4000530650139/other_9d3fd03bad174998408af0f6b582d7c6.png;;;;;;;;;;;;;WMF
449822625;Handpan – warmer Klang für Meditation & Yoga;0;;SKU-4212491486;Schlaginstrumente;179.00;19 %;0;"Diese Handpan mit neun Noten erzeugt einen warmen, klaren Klang für Meditation, Yoga und Klangtherapie. Die harmonische Stimmung fördert tiefe Entspannung, Achtsamkeit und kreativen musikalischen Ausdruck.

Der Korpus besteht aus lackiertem Stahl mit matter schwarzer Oberfläche und ist robust sowie pflegeleicht. Präzise eingearbeitete Tonfelder ermöglichen ein intuitives Spiel mit den Händen oder den beiliegenden Schlägeln, ideal für Einsteiger und Fortgeschrittene.

Im Lieferumfang enthalten sind die Handpan, zwei Schlägel und eine gepolsterte Tragetasche mit komfortablen Tragegurten. Für eine lange Lebensdauer sollte das Instrument trocken gelagert, regelmäßig mit einem weichen Tuch gereinigt und der Kontakt mit aggressiven Reinigungsmitteln vermieden werden.";;;;;https://storage.googleapis.com/avycloud-product-images/products/unknown-ean-1/other_5263a0b0de93dd25705f69b82fc38398.png;https://storage.googleapis.com/avycloud-product-images/products/unknown-ean-1/other_dc42dc2d36203c4f6110786e01c93569.png;https://storage.googleapis.com/avycloud-product-images/products/unknown-ean-1/other_fbd454f665589b73a7a2c4711f4c1761.png;https://storage.googleapis.com/avycloud-product-images/products/unknown-ean-1/other_c0d83ba9b9fa30df515a6b6948e362bf.png;https://storage.googleapis.com/avycloud-product-images/products/unknown-ean-1/other_9ee35fd6d571c442887803ec4dc85deb.png;;;;;;;;;;;;Unbekannt
449822721;PROGARDEN Gartenbank wetterfest & pflegeleicht 2-Sitzer;0;;SKU-2609353370;Gartenbank;39.99;19 %;0;"Die PROGARDEN Gartenbank Genziana bietet zwei bequeme Sitzplätze und verwandelt Terrasse, Balkon oder Garten in eine gemütliche Ruhezone. Ihre kompakte Form nutzt kleine Außenbereiche optimal aus und schafft schnell zusätzliche Sitzgelegenheiten.

Aus wetterfestem, UV-beständigem Polypropylen gefertigt, ist die Bank pflegeleicht und für den ganzjährigen Außeneinsatz geeignet. Das geringe Eigengewicht ermöglicht müheloses Umstellen, während die stabile Konstruktion bis zu 120 kg pro Sitzplatz trägt.

Geliefert wird die Gartenbank zerlegt inklusive Montagematerial und leicht verständlicher Aufbauanleitung. Sie lässt sich einfach mit Wasser und milder Seife reinigen; prüfen Sie regelmäßig Standfestigkeit und Verschraubungen.";;;;;https://storage.googleapis.com/avycloud-product-images/products/progarden-genziana-001/other_f40be1a540d85f8f8d57143dfb5b73eb.png;https://storage.googleapis.com/avycloud-product-images/products/progarden-genziana-001/other_dbf781abf2dcda73b492942e8fdbb469.png;https://storage.googleapis.com/avycloud-product-images/products/progarden-genziana-001/other_53ed1dd66d28af31ab24d143f8bf1218.png;https://storage.googleapis.com/avycloud-product-images/products/progarden-genziana-001/other_39cc3800115d98c9c40991a27ace05f4.png;https://storage.googleapis.com/avycloud-product-images/products/progarden-genziana-001/other_261b1794109166df8f5348c85bff4747.png;https://storage.googleapis.com/avycloud-product-images/products/progarden-genziana-001/other_c5cce5ca61142f81d44a36a6fab84280.png;;;;;;;;;;;PROGARDEN
449822976;Tesvor S7 Pro AES Saug- & Wischroboter mit automatischer Absaugstation, 6000 Pa, LiDAR-Navigation, Weiß;0;6973104880356;SKU-0619911931;Roboter;127.00;19 %;0;Leistungsstarker Tesvor Saug- und Wischroboter ...;;;;;https://storage.googleapis.com/avycloud-product-images/products/6973104880356/other_a29fcfc8d1e5366fe3feea0932bbf593.png;https://storage.googleapis.com/trendocean/products/6973104880356/other_a4643beaa0c237a2320b03ba3abde155.png;https://storage.googleapis.com/avycloud-product-images/products/6973104880356/other_8cd357190b9ec6949e6514d1ae5e470a.png;https://storage.googleapis.com/trendocean/products/6973104880356/other_bd846ce1a23ad1453a617db0619d4b31.png;;;;;;;;;;;;;Tesvor
449823156;GUSSKÖNIG Dutch Oven 9 L – perfekte Hitzeverteilung outdoor;0;4270003118781;SKU-1887574140;Dutch Oven / Feuertopf;92.99;19 %;0;"Der GUSSKÖNIG Dutch Oven mit neun Litern Fassungsvermögen ermöglicht unkompliziertes Kochen für Familie und Freunde im Freien. Massives, vorbehandeltes Gusseisen speichert die Wärme hervorragend und sorgt für gleichmäßige Garergebnisse auch bei niedriger Glut.

Dank drei stabiler Standfüße und hohem Deckelrand können Sie den Feuertopf direkt in die Glut stellen und mit Briketts von oben belegen. Der schwere Deckel lässt sich umgedreht als Grillpfanne oder Bratfläche verwenden und erweitert Ihre Möglichkeiten für Eintöpfe, Braten und knusprige Steaks.

Im Lieferumfang enthalten sind Dutch Oven, passender Deckel, Deckelheber, Griffstab mit Holzgriff, Reinigungsbürste und ein praktisches Rezeptheft. Reinigen Sie den Topf nur leicht, trocknen Sie ihn gründlich und fetten Sie ihn gelegentlich mit Speiseöl ein, um die Schutzschicht zu erhalten und Rost zu vermeiden.";;;;;"https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MP_149491474?x=536&amp;y=402&amp;format=jpg&amp;quality=80&amp;sp=yes&amp;strip=yes&amp;trim&amp;ex=536&amp;ey=402&amp;align=center&amp;resizesource&amp;unsharp=1.5x1+0.7+0.02&amp;cox=0&amp;coy=0&amp;cdx=536&amp;cdy=402";https://storage.googleapis.com/avycloud-product-images/products/gusskoenig-gk-003/other_4528e26d71556f7d41daa98428540249.png;https://storage.googleapis.com/avycloud-product-images/products/gusskoenig-gk-003/other_76ed4c19949ca5deb7d1bc464a28b2c4.png;https://storage.googleapis.com/avycloud-product-images/products/gusskoenig-gk-003/other_ac42e4162000caa4f1c531d4f96801b7.png;https://storage.googleapis.com/avycloud-product-images/products/gusskoenig-gk-003/other_0592c7eb3e526e609841cce3d4225798.png;;;;;;;;;;;;GUSSKÖNIG
449823357;Woltu Standregal Weiß – platzsparend für kleine Räume;0;4063425163489;SKU-3226209432;Regale & Aufbewahrung;36.99;19 %;0;"Das kompakte Woltu Standregal in Weiß schafft auf kleiner Stellfläche praktischen Stauraum für Bücher, Deko und Alltagsgegenstände. Dank seines zeitlosen Designs fügt es sich harmonisch in Wohn-, Arbeits- oder Badezimmer sowie andere Räume ein.

Die offenen Fächer ermöglichen schnellen Zugriff und setzen Ihre Lieblingsstücke dekorativ in Szene. Eine robuste, pflegeleichte Oberfläche aus pflegeleichten Werkstoffen laut Herstellerangabe lässt sich bequem mit einem feuchten Tuch reinigen.

Geliefert wird das Standregal zerlegt mit passendem Montagematerial und verständlicher Aufbauanleitung für die einfache Selbstmontage. Bitte beachten Sie die Herstellerhinweise zu Montage, Belastbarkeit und Pflege, um lange Freude an Ihrem Regal zu haben.";;;;;https://storage.googleapis.com/trendocean/products/4063425163489/other_7fc679b03a95547601aa2d137f8ab5a0.png;https://storage.googleapis.com/trendocean/products/4063425163489/other_21696b898b1697b8fdd613fed205eb1c.png;https://storage.googleapis.com/trendocean/products/4063425163489/other_fab60c4b7af419c2da0f3d2cb3025417.png;https://storage.googleapis.com/trendocean/products/4063425163489/other_dac292ff799a4ad188a9c4e78a5e2b8f.png;;;;;;;;;;;;;WOLTU
